brand,colorway,gender,name,title,releaseDate,retailPrice,belowRetail,shoe,missingData
Jordan,Black/Sport Blue-White,men,Fragment,Jordan 1 Retro Fragment,2014-12-27 23:59:59,185,False,Jordan 1 Retro,False
adidas,Vintage White/Chalk White/Clear Brown,men,Sneakersnstuff x Social Status Vintage White,adidas Ultra Boost Lux Sneakersnstuff x Social Status Vintage White,2017-12-20 23:59:59,200,True,adidas Ultra Boost Lux,False
Jordan,Cyber/Cyber,men,Gatorade Cyber,Jordan 1 Retro High Gatorade Cyber,2017-12-26 23:59:59,175,True,Jordan 1 Retro High,False
adidas,White/Black,men,SNS X Social Status,adidas Ultra Boost 1.0 SNS X Social Status,2017-02-08 23:59:59,200,False,adidas Ultra Boost 1.0,False
Nike,White/Dark Obsidian-Neutral Grey-Black,men,Anniversary Obsidian,Air Max 1 Anniversary Obsidian,2017-12-15 23:59:59,140,False,Air Max 1,False
Jordan,White/Black-Dark Concord,men,Concord (2011),Jordan 11 Retro Concord (2011),2011-12-23 23:59:59,175,False,Jordan 11 Retro,False
Jordan,Sail/Starfish-Black,men,Reverse Shattered Backboard,Jordan 1 Retro Reverse Shattered Backboard,2016-10-08 23:59:59,160,False,Jordan 1 Retro,False
Jordan,Beach/Metallic Gold-University Red,men,Just Don Beach,Jordan 2 Retro Just Don Beach,2016-01-30 23:59:59,650,True,Jordan 2 Retro,False
Nike,Natural/Sport Red-Maple,men,Tom Sachs Space Camp,NikeCraft Mars Yard Shoe 2.0 Tom Sachs Space Camp,2017-06-08 23:59:59,200,False,NikeCraft Mars Yard Shoe 2.0,False
adidas,Blue/Blue/Footwear White,men,Run Thru Time,adidas Ultra Boost Mid Run Thru Time,2017-07-19 23:59:59,200,True,adidas Ultra Boost Mid,False
Nike,Medium Olive/Black-Desert Sand-Ridgerock,men,Country Camo (USA),Air Max 97 Country Camo (USA),2017-12-21 23:59:59,180,True,Air Max 97,False
adidas,Footwear White/Core Black/Core Black,men,White Black,adidas Y-3 Pureboost White Black,2017-09-01 23:59:59,400,True,adidas Y-3 Pureboost,False
Jordan,Black/Cement Grey-White-Varsity Red,men,Black Cement (2011),Jordan 3 Retro Black Cement (2011),2011-11-25 23:59:59,160,False,Jordan 3 Retro,False
adidas,Core Black/Core Black/Core Black,men,Triple Black,adidas Ultra Boost 1.0 Triple Black,2016-12-01 23:59:59,200,False,adidas Ultra Boost 1.0,False
Nike,Multi-Color/Multi-Color,men,KITH Stained Glass,LeBron 15 Lifestyle KITH Stained Glass,2017-12-30 23:59:59,230,False,LeBron 15 Lifestyle,False
Nike,Black/Black-University Red-International Blue,men,Master,Air Max 1 Master,2017-03-25 23:59:59,130,False,Air Max 1,False
Nike,Black/Black-Varsity Red,men,Supreme Black,Air Max 98 Supreme Black,2016-04-28 23:59:59,175,False,Air Max 98,False
Jordan,White/White-White,men,Levi's White (Levi's Tag),Jordan 4 Retro Levi's White (Levi's Tag),2018-06-30 23:59:59,225,False,Jordan 4 Retro,False
Nike,Black/Black-White,men,Supreme "Suptempo" Black,Air More Uptempo Supreme "Suptempo" Black,2017-04-27 23:59:59,190,False,Air More Uptempo,False
Jordan,Hyper Blue-Electro Orange-Black,men,Doernbecher,Jordan 8 Retro Doernbecher,2014-11-23 23:59:59,190,False,Jordan 8 Retro,False
Jordan,Bordeaux/Bordeaux,men,PSNY Bordeaux,Jordan 12 Retro PSNY Bordeaux,2017-06-28 23:59:59,300,False,Jordan 12 Retro,False
Nike,Varsity Red/White,men,Supreme "Suptempo" Red,Air More Uptempo Supreme "Suptempo" Red,2017-04-27 23:59:59,190,False,Air More Uptempo,False
Vans,Marshmallow,men,Fear of God,Vans Era 95 Fear of God,2016-10-05 23:59:59,100,False,Vans Era 95,False
Nike,Lime Green/Varsity Red/Black,men,Grinch,Kobe 6 Grinch,2010-12-25 23:59:59,130,False,Kobe 6,False
adidas,Scarlet/Scarlet/White,men,Pharrell Human Race Scarlet,adidas NMD HU Pharrell Human Race Scarlet,2016-09-29 23:59:59,240,False,adidas NMD HU,False
adidas,Turtledove/Blue Grey-White,men,Turtledove,adidas Yeezy Boost 350 Turtledove,2015-06-27 23:59:59,200,False,adidas Yeezy Boost 350,False
adidas,Brown/Carbon White-Light Brown,men,OG Light Brown,adidas Yeezy Boost 750 OG Light Brown,2015-02-14 23:59:59,350,False,adidas Yeezy Boost 750,False
Nike,Red,men,Red October,Air Yeezy 2 Red October,2014-02-09 23:59:59,250,False,Air Yeezy 2,False
adidas,Multi-Color/Multi-Color,men,Pharrell Multi-Color,adidas Tennis HU Pharrell Multi-Color,2017-07-28 23:59:59,130,True,adidas Tennis HU,False
Nike,Black/White-Varsity Crimson,men,Black White Retro,Air Zoom Generation Black White Retro,2017-12-23 23:59:59,175,True,Air Zoom Generation,False
adidas,Core Black/High Res Red/Grey Five,men,Chinese New Year (2018),adidas Ultra Boost 4.0 Chinese New Year (2018),2018-01-01 23:59:59,180,True,adidas Ultra Boost 4.0,False
Nike,Medium Olive/Black-Dark Army-Dark Khaki,men,Country Camo (France),Air Max 97 Country Camo (France),2017-12-21 23:59:59,180,False,Air Max 97,False
adidas,Crystal White/Crystal White/Clear Grey,men,Kith Cobras,adidas Copa Mundial 17 Ultra Boost Kith Cobras,2017-06-02 23:59:59,220,True,adidas Copa Mundial 17 Ultra Boost,False
Jordan,Black/Metallic Gold-Black,men,Drake OVO Black,Jordan 10 Retro Drake OVO Black,2016-02-13 23:59:59,225,True,Jordan 10 Retro,False
Jordan,Black/Gym Red,men,Doernbecher,Jordan 10 Retro Doernbecher,2013-11-23 23:59:59,170,False,Jordan 10 Retro,False
Nike,Sail/String-White-Black,men,KITH Concrete,LeBron 15 Lifestyle KITH Concrete,2017-12-30 23:59:59,230,False,LeBron 15 Lifestyle,False
Jordan,Summit White/Metallic Gold-White,men,Drake OVO White,Jordan 10 Retro Drake OVO White,2015-09-12 23:59:59,225,False,Jordan 10 Retro,False
adidas,Core Black/Core Black/Running White,men,Neighborhood x Invincible,adidas NMD R1 Neighborhood x Invincible,2017-12-29 23:59:59,200,False,adidas NMD R1,False
Nike,Multi-Color/Multi-Color,men,KITH Rose Gold,LeBron 15 Performance KITH Rose Gold,2017-12-30 23:59:59,200,False,LeBron 15 Performance,False
Jordan,White/Varsity Red-Black Laser,men,White Laser,Jordan 4 Retro White Laser,2005-05-14 23:59:59,200,False,Jordan 4 Retro,False
Jordan,Black/Metallic Gold-Black,men,OVO Black,Jordan 12 Retro OVO Black,2017-02-18 23:59:59,225,False,Jordan 12 Retro,False
adidas,Black/Grey,men,Bape Black Camo,adidas NMD R1 Bape Black Camo,2016-11-26 23:59:59,150,False,adidas NMD R1,False
Jordan,Cool Grey/Chrome-Dark Charcoal-Varsity Maize,men,Cool Grey,Jordan 4 Retro Cool Grey,2004-09-25 23:59:59,100,False,Jordan 4 Retro,False
Vans,Black/Birch,men,Fear of God,Vans Sk8-Hi Fear of God,2016-08-30 23:59:59,100,False,Vans Sk8-Hi,False
Jordan,Black/Royal Blue,men,Black Royal Blue (2001),Jordan 1 Retro Black Royal Blue (2001),2001-10-06 23:59:59,100,False,Jordan 1 Retro,False
Asics,Grey,men,Ronnie Fieg Super Green,ASICS Gel-Lyte III Ronnie Fieg Super Green,2016-05-21 23:59:59,250,False,ASICS Gel-Lyte III,False
Nike,Shy Pink/Vanilla,men,Stussy Cherry,Nike Dunk SB Low Stussy Cherry,2005-07-01 23:59:59,150,False,Nike Dunk SB Low,False
Jordan,White/Gold-Black,men,Concord DMP (2006),Jordan 11 Retro Concord DMP (2006),2006-01-28 23:59:59,148,False,Jordan 11 Retro,False
adidas,Tangerine/Tangerine/Core Black,men,Pharrell HU Hue Man Tangerine,adidas NMD R1 Pharrell HU Hue Man Tangerine,2016-09-29 23:59:59,240,False,adidas NMD R1,False
Jordan,Medium Olive/Medium Olive,men,PSNY Olive,Jordan 12 Retro PSNY Olive,2017-06-28 23:59:59,300,False,Jordan 12 Retro,False
adidas,Core Black,men,Wood Wood Black,adidas Ultra Boost 1.0 Wood Wood Black,2016-02-27 23:59:59,180,False,adidas Ultra Boost 1.0,False
Vans,Black/White,men,Supreme Black Checker Logo,Vans Authentic Supreme Black Checker Logo,2016-10-20 23:59:59,98,False,Vans Authentic,False
Nike,Stadium Green/Volt-Black-Team Orange,men,Weatherman,KD 4 Weatherman,2011-12-10 23:59:59,95,False,KD 4,False
Jordan,Varsity Royal/Metallic Gold-University Red,men,Just Don Blue,Jordan 2 Retro Just Don Blue,2015-01-31 23:59:59,350,False,Jordan 2 Retro,False
Nike,Net/Deep Red-Orange Blaze,men,SP Clot "Kiss of Death" (2006),Air Max 1 NL SP Clot "Kiss of Death" (2006),2006-05-01 23:59:59,100,False,Air Max 1 NL,False
Nike,Black/White-Blue Lagoon,men,Black (1st Release Pair Special Box),Nike HyperAdapt 1.0 Black (1st Release Pair Special Box),2016-12-01 23:59:59,720,False,Nike HyperAdapt 1.0,False
adidas,Black/White-Grey,men,Hypebeast,adidas Ultra Boost Uncaged Hypebeast,2015-12-12 23:59:59,180,False,adidas Ultra Boost Uncaged,False
Jordan,Black/Old Royal-Electric Green-White,men,Doernbecher,Jordan 4 Retro Doernbecher,2011-11-08 23:59:59,175,False,Jordan 4 Retro,False
Jordan,White/Burgundy-Desert Clay,men,Premio Bin 23,Jordan 13 Retro Premio Bin 23,2010-08-21 23:59:59,175,False,Jordan 13 Retro,False
adidas,EQT Yellow/EQT Yellow/FTWR White,men,Pharrell Human Race Yellow,adidas NMD HU Pharrell Human Race Yellow,2016-07-22 23:59:59,240,False,adidas NMD HU,False
Jordan,White/Sport Red-Black-Metallic Gold,men,Miro,Jordan 7 Retro Miro,2008-07-03 23:59:59,175,False,Jordan 7 Retro,False
adidas,Red/White/Black,men,NYC Red Apple,adidas NMD R1 NYC Red Apple,2016-08-15 23:59:59,170,False,adidas NMD R1,False
Nike,White/Varsity Red,men,Supreme Red Stars,Dunk High Pro SB Supreme Red Stars,2003-08-08 23:59:59,75,False,Dunk High Pro SB,False
adidas,Core Black/Core Black,men,Pharrell Y.O.U. N.E.R.D.,adidas NMD HU Pharrell Y.O.U. N.E.R.D.,2017-11-04 23:59:59,240,False,adidas NMD HU,False
Nike,White/College Blue-Chrome-Deep Red,men,What the Dunk,Nike Dunk SB Low What the Dunk,2007-10-01 23:59:59,120,False,Nike Dunk SB Low,False
Nike,Brownstone/Blue Reef-Dark Oak,men,Parra Amsterdam,Air Max 1 AMS Parra Amsterdam,2005-08-01 23:59:59,None,False,Air Max 1 AMS,False
Nike,Cherrywood Red/TC Blue-Del Sol,men,Parra Patta "Cherrywood",Air Max 1 Parra Patta "Cherrywood",2010-03-13 23:59:59,None,False,Air Max 1,False
Jordan,Black/Cement Grey-Dark Forest Green-White-Varsity Maize,men,Oregon Ducks Pit Crew Black,Jordan 3 Retro Oregon Ducks Pit Crew Black,2011-10-11 23:59:59,None,False,Jordan 3 Retro,False
adidas,Core Black/Running White,men,Pharrell x Chanel,adidas Human Race NMD Pharrell x Chanel,2017-11-21 23:59:59,1160,False,adidas Human Race NMD,False
Puma,Olive Branch/Puma Silver,women,Rihanna Fenty Olive (W),Puma Bow Slide Rihanna Fenty Olive (W),2017-03-09 23:59:59,90,True,Puma Bow Slide,False
adidas,Collegiate Red/Ftw White/Collegiate Royal,men,Clot RWB,adidas ZX Flux Clot RWB,2015-03-28 23:59:59,110,False,adidas ZX Flux,False
New Balance,White/Pink/Black,men,Phantaci,New Balance 997.5 Phantaci,2016-07-15 23:59:59,200,True,New Balance 997.5,False
Nike,White/University Red-Neutral Grey-Black,men,Anniversary Red (2017),Air Max 1 Anniversary Red (2017),2017-03-04 23:59:59,140,False,Air Max 1,False
Nike,Raw Umber/Fortress Green-Black Earth,men,Country Camo (UK),Air Max 97 Country Camo (UK),2017-12-21 23:59:59,180,True,Air Max 97,False
Jordan,Black/Black-Dark Stucco-White,men,Camo 3M Shadow,Jordan 1 Retro High Camo 3M Shadow,2017-08-01 23:59:59,145,False,Jordan 1 Retro High,False
adidas,Core Black/Core Black/Core Black,men,Triple Black,adidas Nemeziz Tango 17 Ultra Boost Triple Black,2017-07-06 23:59:59,200,True,adidas Nemeziz Tango 17 Ultra Boost,False
Nike,White/Game Royal-Neutral Grey-Black,men,Anniversary Royal (2017),Air Max 1 Anniversary Royal (2017),2017-03-11 23:59:59,140,False,Air Max 1,False
Nike,Bamboo/Black-Dark Khaki-Sequoia,men,Country Camo (Germany),Air Max 97 Country Camo (Germany),2017-12-21 23:59:59,180,False,Air Max 97,False
adidas,Legend Blue/Clear Onyx/White,men,Grey Camo,adidas NMD R1 Grey Camo,2016-04-09 23:59:59,170,False,adidas NMD R1,False
Vans,Scuba Blue,men,Odd Future Donut,Vans Sk8-Hi Odd Future Donut,2016-09-23 23:59:59,80,False,Vans Sk8-Hi,False
Puma,Green/Black,men,Bape Camo Green,Puma Disc Blaze Bape Camo Green,2015-12-12 23:59:59,189,False,Puma Disc Blaze,False
Nike,Wheat/Wheat-Gold,men,Wheat (All-Star),Air Zoom Generation Wheat (All-Star),2004-02-13 23:59:59,110,False,Air Zoom Generation,False
adidas,Clear Granite/Clear Granite/Vapour Pink,men,Kith Flamingos,ACE 16 PureControl Ultra Boost Kith Flamingos,2017-06-02 23:59:59,220,False,ACE 16 PureControl Ultra Boost,False
Nike,Black/White-Blue Glow Volt,men,Multi-Color,Flyknit Trainer Multi-Color,None,None,False,Flyknit Trainer,False
Jordan,Black/Soft Grey,men,Shadow (2013),Jordan 1 Retro Shadow (2013),2013-07-13 23:59:59,140,False,Jordan 1 Retro,False
Saucony,Light Brown/Grey,men,END "Burger",Saucony Shadow 5000 END "Burger",2014-05-01 23:59:59,135,False,Saucony Shadow 5000,False
Nike,Pale Grey/Sail-Black-Pure Platinum,men,Oreo,Air VaporMax Oreo,2017-04-27 23:59:59,190,False,Air VaporMax,False
Asics,Purple/High Risk Red,men,Ronnie Fieg "High Risk",ASICS GT-II Ronnie Fieg "High Risk",2013-02-20 23:59:59,145,False,ASICS GT-II,False
Jordan,River Rock/Black-University Red-Dark Stucco-White,men,Camo 3M Bred,Jordan 1 Retro High Camo 3M Bred,2017-09-01 23:59:59,145,False,Jordan 1 Retro High,False
Asics,Olive/Chocolate/Orange,men,Ronnie Fieg Militia (Special Box),ASICS Gel-Lyte III Ronnie Fieg Militia (Special Box),2016-11-22 23:59:59,250,False,ASICS Gel-Lyte III,False
Nike,Solar Red/Solar Red-Black-White,men,Solar Red,LeBron 8 V/2 Low Solar Red,2011-08-01 23:59:59,150,False,LeBron 8 V/2 Low,False
Nike,White/Black,men,HTM Shark Jaw,Kobe 10 Elite HTM Shark Jaw,2015-10-01 23:59:59,250,False,Kobe 10 Elite,False
adidas,Tecgol/Whtvap/Gum3,men,UNDFTD x Bape "Camo",adidas ZX 5000 UNDFTD x Bape "Camo",2013-04-20 23:59:59,180,False,adidas ZX 5000,False
Nike,Black/Bright Crimson-White,men,Clot Bright Crimson,Air VaporMax Clot Bright Crimson,2017-07-28 23:59:59,200,False,Air VaporMax,False
Jordan,French Blue/University Blue-Flint Grey,men,Flint (1997),Jordan 13 OG Flint (1997),1998-02-14 23:59:59,150,False,Jordan 13 OG,False
Jordan,Wheat/Wheat-Gum Light Brown,men,PSNY Wheat,Jordan 12 Retro PSNY Wheat,2017-06-28 23:59:59,300,False,Jordan 12 Retro,False
Vans,Black/Bones,men,Blends Bones,Vans Style 36 Blends Bones,2017-03-11 23:59:59,None,False,Vans Style 36,False
Nike,Harbor Blue/Black-Varsity Royal-Midnight Navy,men,Stash,Air Max 95 Stash,2006-03-25 23:59:59,None,False,Air Max 95,False
Nike,Metallic Gold/White,men,Supreme "Suptempo" Gold,Air More Uptempo Supreme "Suptempo" Gold,2017-04-27 23:59:59,190,False,Air More Uptempo,False
Vans,Black/White,men,Supreme Black Checker Logo,Vans Sk8-Hi Supreme Black Checker Logo,2016-10-20 23:59:59,110,False,Vans Sk8-Hi,False
Asics,Multi-Color/Multi-Color,men,Ronnie Fieg "Homage" (Special Box),ASICS Gel-Lyte III Ronnie Fieg "Homage" (Special Box),2015-12-23 23:59:59,325,False,ASICS Gel-Lyte III,False
Asics,Grey/Salmon,men,Ronnie Fieg "Flamingo",ASICS Gel-Lyte III Ronnie Fieg "Flamingo",2013-08-02 23:59:59,150,False,ASICS Gel-Lyte III,False
Reebok,Camo/Black/White,men,Aape By a Bathing Ape,Reebok Instapump Fury Aape By a Bathing Ape,2013-08-24 23:59:59,175,False,Reebok Instapump Fury,False
Diadora,Purple/Purple,men,Packer Shoes x Raekwon "Purple Tape",Diadora N9000 Packer Shoes x Raekwon "Purple Tape",2015-08-20 23:59:59,200,False,Diadora N9000,False
Nike,White/White,men,Travis Scott (AF100),Air Force 1 Low Travis Scott (AF100),2017-12-02 23:59:59,150,False,Air Force 1 Low,False
Diadora,Sand/Blue/Orange,men,Kith From Seoul To Rio,Diadora Intrepid Kith From Seoul To Rio,2016-08-20 23:59:59,180,False,Diadora Intrepid,False
A Bathing Ape,Sand,men,Ronnie Fieg Fiegsta Sand,A Bathing Ape Bapesta Ronnie Fieg Fiegsta Sand,2016-09-17 23:59:59,300,False,A Bathing Ape Bapesta,False
Jordan,Black/Dark Concord/Metallic Silver,men,Sacramento Kings,Jordan 10 OG Sacramento Kings,1995-06-01 23:59:59,125,False,Jordan 10 OG,False
Nike,Black/Black-Bamboo-Black,men,Acronym Bamboo,Air Presto Acronym Bamboo,2016-09-15 23:59:59,200,False,Air Presto,False
New Balance,Grey/White,men,Concepts "The Kennedy",New Balance 999 Concepts "The Kennedy",2011-04-16 23:59:59,150,False,New Balance 999,False
Nike,White/Deep Maroon-Metallic Gold,men,Christ the King (CTK),LeBron 7 Christ the King (CTK),2010-04-01 23:59:59,140,False,LeBron 7,False
adidas,Olive,men,Bape Olive Camo,adidas NMD R1 Bape Olive Camo,2016-11-26 23:59:59,150,False,adidas NMD R1,False
Jordan,Varsity Red/Metallic Silver-Black,men,Doernbecher (2013),Jordan 3 Retro Doernbecher (2013),2013-07-20 23:59:59,160,False,Jordan 3 Retro,False
New Balance,Blue/White,men,Hanon Chosen Few,New Balance 1500 Hanon Chosen Few,2012-08-31 23:59:59,None,False,New Balance 1500,False
adidas,White/Grey/Onyx,men,MFG Made For Germany,adidas Futurecraft MFG Made For Germany,2016-10-06 23:59:59,250,False,adidas Futurecraft,False
Fear of God,Canapa,men,Canapa,Fear Of God Military Sneaker Canapa,2016-11-26 23:59:59,1195,True,Fear Of God Military Sneaker,False
Reebok,Collegiate Royal/Black/Trophy Gold,men,CNCPTS Versace,Reebok Instapump Fury CNCPTS Versace,2014-06-28 23:59:59,170,False,Reebok Instapump Fury,False
Nike,Reflective Silver/Reflective Silver-Metallic Gl,men,Moon Landing,Air Max Lunar90 SP Moon Landing,2014-07-20 23:59:59,145,False,Air Max Lunar90 SP,False
adidas,White/Black,men,SNS Tee Time,adidas Ultra Boost 1.0 SNS Tee Time,2016-01-22 23:59:59,180,False,adidas Ultra Boost 1.0,False
Vans,Blue/White,men,Supreme Blue Checker Logo,Vans Authentic Supreme Blue Checker Logo,2016-10-20 23:59:59,98,False,Vans Authentic,False
Nike,Medium Olive/Dust-Black,men,Acronym Olive,Air Presto Acronym Olive,2016-09-15 23:59:59,200,False,Air Presto,False
Nike,Black/Black/Dark Grey,men,Supreme Black,Nike Flyknit Lunar1+ Supreme Black,2013-10-03 23:59:59,150,False,Nike Flyknit Lunar1+,False
Jordan,White/Del Sol-Black-Challenge Red,men,Premio Bin 23,Jordan 7 Retro Premio Bin 23,2010-11-26 23:59:59,175,False,Jordan 7 Retro,False
Asics,Beige,men,Woei "Cervidae",ASICS Gel-Lyte III Woei "Cervidae",2012-06-30 23:59:59,170,False,ASICS Gel-Lyte III,False
Nike,White/Black-Hot Lava-Volt,men,Acronym Volt,Air Presto Acronym Volt,2016-09-15 23:59:59,200,False,Air Presto,False
Nike,Black/Neon Yellow-Metallic Silver,men,112 Pack,Air Max 1 112 Pack,2008-07-12 23:59:59,100,False,Air Max 1,False
Nike,Fire Red/Cement Grey-Black,men,Supreme  Red Cement (2012),Nike Dunk SB Low Supreme  Red Cement (2012),2012-07-19 23:59:59,148,False,Nike Dunk SB Low,False
Nike,Red/Gold,men,Supreme Red,Air Foamposite One Supreme Red,2014-04-03 23:59:59,250,False,Air Foamposite One,False
Nike,Retro/Black-Pink Flash-Filament Green,men,South Beach (Pre-Heat),LeBron 8 South Beach (Pre-Heat),2010-10-16 23:59:59,160,False,LeBron 8,False
Jordan,Black/Varsity Red-Medium Grey Laser,men,Black Laser,Jordan 4 Retro Black Laser,2005-08-20 23:59:59,175,False,Jordan 4 Retro,False
Jordan,Black/Pro Gold-Lucky Green,men,Doernbecher Peacock,Jordan 2 Retro Doernbecher Peacock,2007-11-09 23:59:59,140,False,Jordan 2 Retro,False
Asics,Red/Black-White,men,Afew "Koi",ASICS Gel-Lyte III Afew "Koi",2015-05-30 23:59:59,170,False,ASICS Gel-Lyte III,False
Jordan,Black/White-Black,men,Doernbecher,Jordan 5 Retro Doernbecher,2013-09-14 23:59:59,180,False,Jordan 5 Retro,False
Asics,Turquoise/Turquoise,men,Ronnie Fieg "Cove",ASICS Gel-Lyte III Ronnie Fieg "Cove",2010-09-03 23:59:59,115,False,ASICS Gel-Lyte III,False
Vans,Black/White,men,Supreme Public Enemy Black White,Vans Sk8-Hi Supreme Public Enemy Black White,2016-10-01 23:59:59,98,False,Vans Sk8-Hi,False
adidas,Red/Gum,men,Nice Kicks,adidas NMD R1 Nice Kicks,2016-02-06 23:59:59,170,False,adidas NMD R1,False
Nike,Grass/Grass-Orange Blaze,men,Patta "Homegrown Grass",Air Max 90 Patta "Homegrown Grass",2006-12-01 23:59:59,290,False,Air Max 90,False
Asics,Mint Leaf,men,Ronnie Fieg "Mint Leaf",ASICS Gel-Lyte III Ronnie Fieg "Mint Leaf",2011-07-15 23:59:59,120,False,ASICS Gel-Lyte III,False
Nike,Khaki/Viotech-Dark Mocha-Metallic Gold,men,B Atmos Viotech,Air Max 1 B Atmos Viotech,2003-01-01 23:59:59,None,False,Air Max 1,False
Nike,Aqua/Chrome,men,Diamond Supply Co. "Tiffany",Nike Dunk SB Low Diamond Supply Co. "Tiffany",2005-08-01 23:59:59,None,False,Nike Dunk SB Low,False
Fear of God,New York Blue,men,Kith Blue,Fear Of God Military Sneaker Kith Blue,2017-03-08 23:59:59,1195,True,Fear Of God Military Sneaker,False
Nike,Black/Gold,men,Supreme Black,Air Foamposite One Supreme Black,2014-04-03 23:59:59,250,False,Air Foamposite One,False
Nike,Concord/Bright Crimson-Black-C (Nerf),men,Nerf,KD 4 Nerf,2011-12-17 23:59:59,125,False,KD 4,False
Diadora,Black/Atlantis Green,men,LimitEDition "Castellers",Diadora N9000 LimitEDition "Castellers",2015-09-26 23:59:59,220,False,Diadora N9000,False
Jordan,Black/Varsity Royal-White,men,Satin "Royal",Jordan 1 Retro Satin "Royal",2017-04-01 23:59:59,175,False,Jordan 1 Retro,False
Jordan,White/Titanium-University Blue,men,Titanium,Jordan 23 Titanium,2008-01-25 23:59:59,230,False,Jordan 23,False
Jordan,Black/Varsity Red,men,Finale,Jordan 23 Finale,2008-12-23 23:59:59,230,False,Jordan 23,False
Nike,Jetstream/White-Pale Blue,men,Marty McFly 2015,Nike Hyperdunk Marty McFly 2015,2008-07-12 23:59:59,200,False,Nike Hyperdunk,False
Nike,Wheat/Sport Red-Bison-Classic Green,men,Animal Pack,Air Max 1 Animal Pack,None,200,False,Air Max 1,False
Jordan,Black/Metallic Gold-White,men,Black Metallic Gold (2013),Jordan 1 Retro Black Metallic Gold (2013),2013-04-13 23:59:59,140,False,Jordan 1 Retro,False
Asics,Yellow/Red-White,men,Hanon "Wildcats",ASICS Gel-Lyte III Hanon "Wildcats",2011-10-28 23:59:59,170,False,ASICS Gel-Lyte III,False
Nike,White/Black-Cement Grey,men,Supreme  White Cement (2002),Nike Dunk SB Low Supreme  White Cement (2002),2002-09-01 23:59:59,None,False,Nike Dunk SB Low,False
Nike,Black/Black,men,Supreme Black (2006),Nike SB Blazer Supreme Black (2006),2006-04-21 23:59:59,180,False,Nike SB Blazer,False
Nike,White/University Blue,men,Supreme Blue Stars,Dunk High Pro SB Supreme Blue Stars,2003-08-08 23:59:59,75,False,Dunk High Pro SB,False
Jordan,Black/University Red-White,men,Satin "Banned",Jordan 1 Retro Satin "Banned",2016-10-18 23:59:59,175,False,Jordan 1 Retro,False
Nike,Multi-Color,men,Celebration Pack,LeBron X Celebration Pack,2013-08-10 23:59:59,500,False,LeBron X,False
Jordan,White/Clover,men,Ray Allen PE,Jordan 13 Retro Ray Allen PE,2011-07-23 23:59:59,175,False,Jordan 13 Retro,False
Asics,Blue/Salmon,men,Ronnie Fieg "Salmon Toes",ASICS Gel-Lyte III Ronnie Fieg "Salmon Toes",2011-09-30 23:59:59,130,False,ASICS Gel-Lyte III,False
adidas,Core Black/Core Black/Lush Red,men,Primeknit Friends and Family,adidas NMD R1 Primeknit Friends and Family,2016-01-01 23:59:59,None,False,adidas NMD R1,False
Nike,Zen Grey/Light Charcoal,men,Zen Grey,Air Yeezy 1 Zen Grey,2009-04-04 23:59:59,250,False,Air Yeezy 1,False
adidas,Black,men,Friends and Family Pitch Black,adidas NMD R1 Friends and Family Pitch Black,2016-07-30 23:59:59,0,False,adidas NMD R1,False
Nike,White/Chlorophyll-Matte Silver,men,Patta 5th Anniv Green,Air Max 1 Patta 5th Anniv Green,2009-09-29 23:59:59,110,False,Air Max 1,False
Nike,Black/Black-Cement Grey,men,Supreme  Black Cement (2002),Nike Dunk SB Low Supreme  Black Cement (2002),2002-09-01 23:59:59,65,False,Nike Dunk SB Low,False
adidas,Core Black/Dark Grey/Core Black,men,Black,adidas 3D Runner Black,2016-12-15 23:59:59,333,False,adidas 3D Runner,False
Nike,Black-Neon Green,men,ParaNorman,Air Foamposite One ParaNorman,2012-08-01 23:59:59,0,False,Air Foamposite One,False
Nike,Black/Orange,men,VLONE (2017),Air Force 1 Low VLONE (2017),2017-02-11 23:59:59,250,False,Air Force 1 Low,False
Nike,Black/Black,men,Blink,Air Yeezy 1 Blink,2009-04-04 23:59:59,250,False,Air Yeezy 1,False
Nike,Black/Black-Hot Pink-Metallic Gold,men,Kid Robot (2005),Air Max 1 Kid Robot (2005),2005-02-11 23:59:59,150,False,Air Max 1,False
Nike,Dark Army/Orange Blaze-Dark Cinder-Tweed,men,Warhawk,Air Max 90 Warhawk,2007-05-26 23:59:59,110,False,Air Max 90,False
Asics,Black/Grey-Teal,men,Ronnie Fieg "Leatherbacks",ASICS Gel-Lyte III Ronnie Fieg "Leatherbacks",2011-11-18 23:59:59,130,False,ASICS Gel-Lyte III,False
Jordan,Black/Stealth-Varsity Red,men,Eminem (The Way I Am),Jordan 2 Retro Eminem (The Way I Am),2008-12-18 23:59:59,110,False,Jordan 2 Retro,False
Nike,Wolf Grey/Pure Platinum,men,Pure Platinum,Air Yeezy 2 Pure Platinum,2012-06-09 23:59:59,250,False,Air Yeezy 2,False
Nike,Yellow Ochre/Terra Brown,men,Yellow Lobster,Nike Dunk SB Low Yellow Lobster,2009-07-27 23:59:59,0,False,Nike Dunk SB Low,False
Nike,White/Black/Varsity Red,men,Graffiti NYC,LeBron 4 Graffiti NYC,2006-11-11 23:59:59,0,False,LeBron 4,False
Nike,Black/Black-Solar Red,men,Solar Red,Air Yeezy 2 Solar Red,2012-06-09 23:59:59,250,False,Air Yeezy 2,False
Jordan,Midnight Navy/Black-White,men,Spike Lee Fort Greene,Jordan 1 Retro High OG Spike Lee Fort Greene,2017-06-16 23:59:59,300,False,Jordan 1 Retro High OG,False
